run,sample,sample_in_trigger_record,time_in_1ms_period_us,s11_mag_db,s11_phase_unwrapped_deg,master_power,slave_power,state,block_index,pulse_number_in_second,temp_C
DMEM1_96 · 12:13:47,DMEM1_96,3,3.0,-6.471330451746079,-54.29698760890236,7.116258345448783,1.6036835003824677,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,4,4.0,-6.472131190430397,-54.298808855265975,12.751286685282563,2.8730348299050683,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,5,5.0,-6.472181165387958,-54.304174674693066,19.95791102623536,4.496731593572688,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,6,6.0,-6.473178853308652,-54.310481498393706,20.274515681776208,4.567016737461784,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,7,7.0,-6.474251822613274,-54.31346725635299,20.071348374256957,4.520134593021702,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,8,8.0,-6.47476137431528,-54.32185409803071,20.13265881478347,4.53340997878208,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,9,9.0,-6.473698748373438,-54.33533950499197,20.11049204543028,4.529526677036732,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,10,10.0,-6.475347808776661,-54.33045943525442,20.06159245000745,4.516797522848357,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,11,11.0,-6.4759209046687385,-54.332556842866815,20.108957495905955,4.526864192276515,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,12,12.0,-6.47593417145136,-54.34030149133602,20.0329585459587,4.509741775416412,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,13,13.0,-6.476704510505212,-54.32766514841029,20.080680118629854,4.519682910946927,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,14,14.0,-6.479605359043726,-54.31368335603458,20.03027655290944,4.5053279517686216,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,15,15.0,-6.480620632041516,-54.32234075564678,20.06348727083964,4.5117430452006495,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,16,16.0,-6.480902058890116,-54.32246141350732,20.032446010414198,4.504470790492681,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,17,17.0,-6.48195378849749,-54.31334189266193,20.038079030034275,4.504646403318188,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,18,18.0,-6.482995921373363,-54.31357673516122,20.029835022588017,4.5017127545245845,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,19,19.0,-6.483636385336497,-54.32237669929404,20.024895752535414,4.499938986586462,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,20,20.0,-6.4841925277652015,-54.31565988907037,20.017796563804843,4.497767671216269,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,21,21.0,-6.48417426263923,-54.311758823924364,20.005660621536475,4.495059770001612,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,22,22.0,-6.483479039441579,-54.32064552120666,20.006452340650192,4.495957320887016,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,23,23.0,-6.484304001117611,-54.32275599717266,20.000431560614533,4.493750609906128,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,24,24.0,-6.482573872813724,-54.321770005767526,19.99870203217865,4.495152422442402,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,25,25.0,-6.481766098430786,-54.328145766964205,19.99159835119348,4.494391577656839,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,26,26.0,-6.483942493456275,-54.33024806470336,19.987259757714583,4.491164963879061,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,27,27.0,-6.4863286379369445,-54.32349540498636,19.98910810664324,4.489113158986458,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,28,28.0,-6.486037826596142,-54.320822300136015,19.98310383512345,4.488065250728108,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,29,29.0,-6.487318205854198,-54.31621304916599,19.97562262442861,4.485062550080916,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,30,30.0,-6.488694637071534,-54.30387656494256,19.98096405806348,4.484840216956833,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,31,31.0,-6.487828753186299,-54.28714644563928,19.97737371429234,4.484928447061502,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,32,32.0,-6.487583867294809,-54.28200043482386,19.97915755001029,4.485581840541831,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,33,33.0,-6.488154731789208,-54.27972234213789,19.96144720718238,4.481016584996415,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,34,34.0,-6.489618250222185,-54.27512401019643,19.97075417116904,4.481595348903015,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,35,35.0,-6.489738740406027,-54.27999281987169,19.94675006052873,4.476084450711616,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,36,36.0,-6.489852421002994,-54.28837907868049,19.955206772009625,4.477864937281351,Treatment,29665,664,36.826722325176476
