run,run_name,sample,status,duration_s,temperature_start_C,temperature_end_C,temperature_rise_C,temperature_min_C,temperature_max_C,median_s11_db,phase_change_deg,global_points,selected_second_pulses,selected_pulse_samples,selected_pulse_number,selected_pulse_state,selected_pulse_temperature_C,treatment_duty_pct,cooling_duty_pct,blocks_written,dropped_blocks,shared_lo_verified
DMEM1_96 · 12:13:47,20260722_121347_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM1_96,DMEM1_96,Included,112.000477,27.856912308015723,35.164143113672594,7.3072308056568716,27.856912308015723,37.198937030965865,-5.5310821958436645,-1.9905946128318988,113,1000,47,664,Treatment,36.826722325176476,5.0,0.5,120000,0,True
DMEM2_96 · 12:41:40,20260722_124140_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM2_96,DMEM2_96,Included,43.0004775,28.41267119567293,35.335855084383375,6.923183888710444,28.41267119567293,36.99081709236842,-6.2454042635275115,-2.136888541856223,44,1001,47,622,Treatment,36.69010298912306,5.0,0.5,44411,0,True
DMEM3_96R · 17:03:47,20260722_170347_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM3_96R,DMEM3_96R,Included,289.00047750000004,29.53154169865843,36.48649927251758,6.954957573859147,29.53154169865843,37.46232859818492,-5.977074480762399,3.914866236477195,290,1001,47,90,Treatment,36.898310845222035,5.0,0.5,300000,0,True
DMEM4_96R · 17:10:44,20260722_171044_ModeTrigger_SR1M_AWG1000Hz_Duty2_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM4_96R,DMEM4_96R,Included,293.00049199999995,28.647861240139,36.67640138881758,8.02854014867858,28.647861240139,36.7264832657921,-6.3974497844592655,4.575011675523392,294,1001,18,826,Treatment,36.627205057419175,2.0,0.5,300000,0,True
DMEM5_96R · 17:20:08,20260722_172008_ModeTrigger_SR1M_AWG1000Hz_Duty2_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM5_96R,DMEM5_96R,Included,293.0,28.41534175152966,35.98328220048941,7.567940448959753,28.41534175152966,36.65177164542492,-5.532471124604216,8.68061693318834,294,1001,17,881,Treatment,36.61787758492402,2.0,0.5,300000,0,True
DMEM6_96R · 17:47:32,20260722_174732_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM6_96R,DMEM6_96R,Included,290.0004775,29.43381730860229,36.55110691024678,7.11728960164449,29.43381730860229,37.35176995575144,-5.406208825757263,-2.293089352791185,291,1000,47,14,Treatment,36.81623654569147,5.0,0.5,300000,0,True
PBS1_96R · 17:54:20,20260722_175420_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS1_96R,PBS1_96R,Included,293.00097750000003,29.78708517067265,36.86777929082244,7.08069412014979,29.78708517067265,37.84902367561163,-5.703404569983811,-8.062750801059956,294,1000,47,74,Treatment,36.66237049440357,5.0,0.5,300000,0,True
PBS2_96R · 18:05:02,20260722_180502_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS2_96R,PBS2_96R,Included,293.0,29.48237750976588,36.24932407195082,6.766946562184938,29.48237750976588,37.68456149381186,-5.652222889520799,36.061167934185704,294,1001,48,898,Treatment,36.891418876028055,5.0,0.5,299999,1,True
PBS3_96 · 18:18:43,20260722_181843_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS3_96,PBS3_96,Included,107.999999,30.809876758234477,35.13024850553184,4.3203717472973615,30.809876758234477,37.55876748130149,-6.418739320887237,8.672037760838975,109,1001,48,728,Treatment,37.0693527271749,5.0,0.5,120000,0,True
PBS4_96 · 18:21:56,20260722_182156_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS4_96,PBS4_96,Included,113.00097850000002,29.510140688904567,35.63400703349252,6.123866344587956,29.510140688904567,37.44765430409443,-6.401867207377271,1.1152200489400315,114,1001,48,841,Treatment,36.736189683899454,5.0,0.5,120000,0,True
